id	uri	name_translit	name_arabic	alias_names	birth_year	death_year	floruit_years	description
1080	https://ismi.mpiwg-berlin.mpg.de/person/1080	Uluġ Beg Gūrgān, Muḥammad Ṭaraġāy ibn Šāhruḫ ibn Tīmūr 	ألغ ‌بیگ گورگان محمّد طارغاي بن شاه رخ بن تیمور 	الغ بيک السمرقندى, Ulugh Beg Gūrgān, Kāshī	1394	1449		TEXT[74283] was_dedicated_to, TEXT[124362] was_created_by, PLACE[174469] lived_in, WITNESS[260266] had_patron, TEXT[414955] was_dedicated_to, TEXT[92983] was_created_by, TEXT[139788] was_dedicated_to, TEXT[55776] was_created_by, TEXT[130763] was_dedicated_to, TEXT[50248] was_created_by, TEXT[263903] was_created_by, PERSON[5490] was_student_of
1261	https://ismi.mpiwg-berlin.mpg.de/person/1261	Nūr al-Dīn Abū al-Qāsim ʿAlī ibn Aḥmad al-Balḫī	نور الدين أبو القاسم علي بن أحمد البلخي	Nūr al-Dīn al-Balkhī, Abū al-Qāsim al-Balkhī			900	PLACE[153791] lived_in, TEXT[55150] was_created_by, TEXT[157143] was_created_by, TEXT[370395] was_created_by
1272	https://ismi.mpiwg-berlin.mpg.de/person/1272	Masʿūd ibn Muʿtazz al-Niāmī al-Mashhadī		Masʿūd al-Mashhadī				TEXT[130354] was_created_by
1389	https://ismi.mpiwg-berlin.mpg.de/person/1389	Ḥusayn ibn Ḥasan al-Qūnawī	حسين بن حسن القونوي	Ḥusayn al-Qūnawī			1429	TEXT[129965] was_created_by, TEXT[205556] was_created_by
1477	https://ismi.mpiwg-berlin.mpg.de/person/1477	Ḫayr al-Dīn Abū  ʿAbd Allāh Ḫalīl ibn Ibrāhīm al-Ḥusaynī	خير الدين ابو عبد الله خليل بن ابراهيم الحسيني	Khayr al-Dīn Abū ʿAbd Allāh Khalīl ibn Ibrāhīm al-Ḥusaynī, Khalīl ibn Ibrāhīm				TEXT[57404] was_created_by, TEXT[68104] was_created_by
1488	https://ismi.mpiwg-berlin.mpg.de/person/1488	ʿAbd al-Ghanī ibn Ḥusām al-Dīn Aḥmad ibn al-ʿArabānī al-Miṣrī		Ibn al-ʿArabānī				TEXT[132624] was_created_by
1645	https://ismi.mpiwg-berlin.mpg.de/person/1645	al-Sayyid al-Šarīf ʿAlī ibn Muḥammad ibn ʿAli al-Ḥusaynī al-Jurjānī 	السيّد الشريف علي بن محمّد بن علي الحسيني الجرجاني	سيد شريف, السيد شريف الجرجانى, Cürcānī, al-Sayyid Šarīf al-Jurjānī, al-Sayyid al-Sharīf	1340	1413		TEXT[111443] was_created_by, TEXT[434811] was_created_by, TEXT[75414] was_created_by, TEXT[91763] was_created_by, TEXT[91881] was_created_by, TEXT[345281] was_created_by, TEXT[156855] was_created_by, TEXT[127296] was_created_by, TEXT[140331] was_created_by, TEXT[149620] was_created_by, TEXT[88757] was_created_by, TEXT[104274] was_created_by, TEXT[75768] was_created_by, TEXT[106373] was_created_by, TEXT[119250] was_created_by, TEXT[95037] was_created_by, TEXT[152521] was_created_by, TEXT[157082] was_created_by, TEXT[94394] was_created_by, TEXT[96603] was_created_by, TEXT[66324] was_created_by, TEXT[152951] was_created_by, TEXT[24214] was_created_by, PLACE[362860] lived_in, PLACE[85370] lived_in, PLACE[174469] lived_in, PLACE[374934] lived_in, PLACE[85367] lived_in, PLACE[85210] lived_in, PLACE[85226] lived_in, PLACE[85640] lived_in, PLACE[85653] lived_in, PLACE[85653] died_in, PERSON[455] was_student_of, PLACE[85640] was_born_in
1658	https://ismi.mpiwg-berlin.mpg.de/person/1658	Abū l-Baqāʾ Ghawthalislām aṣ-Ṣiddīqī al-Jawnpūrī		Abū l-Baqāʾ Ghawthalislām aṣ-Ṣiddīqī al-Jawnpūrī				TEXT[73815] was_created_by, TEXT[61388] was_created_by
1765	https://ismi.mpiwg-berlin.mpg.de/person/1765	Abū Zayd ʿAbd al-Raḥmān ibn Ġālib al-Laḫmī al-Jādarī al-Madyūnī	أبو زيد عبد الرحمن بن غالب اللخمي الجادري المديوني	Jādarī	1375	1435		TEXT[148768] was_created_by, TEXT[126950] was_created_by, PLACE[87971] lived_in
1794	https://ismi.mpiwg-berlin.mpg.de/person/1794	Shams al-Dīn Maʿālī Muḥammad Kiyā Jurjānī		Muḥammad al-Jurjānī				TEXT[49540] was_created_by, TEXT[123763] was_created_by
1949	https://ismi.mpiwg-berlin.mpg.de/person/1949	Ḥaydarī, Faṣīh al-Dīn Ibrāhīm		Ḥaydarī, Faṣīh al-Dīn Ibrāhīm				TEXT[29150] was_created_by
1960	https://ismi.mpiwg-berlin.mpg.de/person/1960	Badr al-Dīn ʿAbd al-Wājid (al-Wāḥid?) ibn Muḥammad ibn Muḥammad al-Ḥanafī	بدر الدين عبد الواجد (الواحد؟) بن محمد بن محمد الحنفي	ʿAbd al-Wājid b. Muḥammad al-Kūtāhī, ʿAbd al-Wājid, ʿAbd al-Vācid b. Muḥammed	1330	1434	1330	TEXT[48746] was_created_by, TEXT[48901] was_created_by, PERSON[55492] was_student_of, TEXT[51398] was_created_by, TEXT[64935] was_created_by, PLACE[525086] lived_in, PLACE[525086] died_in, PERSON[105297] was_student_of, PLACE[310384] lived_in, PLACE[482813] lived_in, PLACE[87957] lived_in, PLACE[87957] was_born_in
2101	https://ismi.mpiwg-berlin.mpg.de/person/2101	Ibn Zakariyyāʾ al-Awsī	ابن زكريّاء الأوسي	Ibn Zakariyyā al-Awsī				TEXT[101939] was_created_by
2251	https://ismi.mpiwg-berlin.mpg.de/person/2251	Muḥammad ibn ʿAlī ibn Zurayq al-Ḫayrī al-Jabartī al-Šāfiʿī 	محمّد بن علي بن زريق الخيري الجبرتي الشافعي	محمد بن علي بن ابراهيم الشهير بابن زريق الجبري الشافعي, Muḥammad b. ʿAlī b. Ibrāhīm, Ibn Zurayq al-Ḫayrī, Ibn Zarīq al-Khayrī				TEXT[112914] was_created_by, TEXT[80693] was_created_by, TEXT[53307] was_created_by, TEXT[135260] was_created_by, TEXT[114810] was_created_by
2322	https://ismi.mpiwg-berlin.mpg.de/person/2322	Humām al-Ṭabīb: Muḥammad ibn Muḥammad ibn Abi Ṭālib	محمد بن محمد بن أبي طالب (همام الطبيب)	محمّد بن محمّد المشهّر بهمام الطبيب, همام الطبيب, Humām al-Ṭabīb			1410	TEXT[105910] was_created_by, WITNESS[158231] was_copied_by, TEXT[33001] was_created_by, TEXT[350259] was_created_by
2435	https://ismi.mpiwg-berlin.mpg.de/person/2435	Walī al-Dīn Abū Zarʿa Aḥmad ibn ʿAbd al-Raḥīm al-ʿIrāqī		Aḥmad al-ʿIrāqī				TEXT[139540] was_created_by, TEXT[81833] was_created_by
2505	https://ismi.mpiwg-berlin.mpg.de/person/2505	Šaraf al-Dīn Abū ʿImrān Mūsỳ ibn Muḥammad ibn ʿUṯmān al-Ḫalīlī	شرف الدين ابو عمران موسی بن محمد بن عثمان الخليلي	ابو عمران موسی شرف الدين بن محمد بن عثمان بن اخت الخليلي الموقت, Mūsỳ ibn Muḥammad ibn ʿUṯmān al-Ḫalīlī				TEXT[145994] was_created_by, TEXT[83267] was_created_by, TEXT[55183] was_created_by, TEXT[77493] was_created_by, TEXT[108072] was_created_by
2712	https://ismi.mpiwg-berlin.mpg.de/person/2712	Šihāb al-Dīn Aḥmad ibn Ġulām Allāh al-Kūm al-Rīšī	شهاب الدين أحمد بن غلام الله الكوم الريشي 	الشيخ العمدة احمد ابن غلام الله ابن [ا]حمد الشهير بالکوم الريشي, احمد ابن غلام الله ابن احمد الشهير بالکوم الريشي, Kūm al-Rīšī, Aḥmad ibn Ġulām Allāh ibn Aḥmad al-Kūm al-Rīshī , Aḥmad ibn Ġulām Allāh al-Rīshī		1433		TEXT[77330] was_created_by, TEXT[71362] was_created_by
2827	https://ismi.mpiwg-berlin.mpg.de/person/2827	Ġiyāṯ al-Dīn Jamšīd ibn Masʿūd ibn Maḥmūd al-Kāšī [al-Kāšānī]	 غياث الدين جمشيد بن مسعود بن محمود الكاشي 	جمشيد بن مسعود الكاشانى , Kāshī, Ghiyāth al-Dīn, Kāshī	1385	1428		TEXT[48115] was_created_by, TEXT[109273] was_created_by, TEXT[74283] was_created_by, TEXT[112038] was_created_by, TEXT[71701] was_created_by, TEXT[87785] was_created_by, TEXT[152073] was_created_by, TEXT[134096] was_created_by, TEXT[58806] was_created_by, TEXT[80822] was_created_by, TEXT[57647] was_created_by, TEXT[130763] was_created_by, TEXT[134133] was_created_by, TEXT[141422] was_created_by, TEXT[156104] was_created_by, TEXT[48853] was_created_by, TEXT[57675] was_created_by, TEXT[68054] was_created_by, TEXT[77586] was_created_by, TEXT[156146] was_created_by, TEXT[500123] was_created_by, TEXT[499858] was_created_by, PLACE[85653] lived_in, PLACE[174469] lived_in, PLACE[488271] lived_in, PLACE[362860] lived_in, PLACE[362860] died_in, PLACE[488271] was_born_in
