URI	id	title	title_source	date	types	parent_name	parent_id	parent_type		
https://ismi.mpiwg-berlin.mpg.de/place/179327	179327	Belgium	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/87247	87247	Berlin	ISMI	700	city	Germany	#174492	country		
https://ismi.mpiwg-berlin.mpg.de/place/447960	447960	Birgi	ISMI	700		İzmir	#49174	city		
https://ismi.mpiwg-berlin.mpg.de/place/86475	86475	Birmingham, U.K.	ISMI	700	city	UK	#174533	country		
https://ismi.mpiwg-berlin.mpg.de/place/168025	168025	Alamūt	ISMI	700	city	Iran	#174469	country		
https://ismi.mpiwg-berlin.mpg.de/place/88220	88220	Bologna	ISMI	700	city	Italy	#173763	country		
https://ismi.mpiwg-berlin.mpg.de/place/431413	431413	Bombay	ISMI	700	city	India	#174638	country		
https://ismi.mpiwg-berlin.mpg.de/place/179005	179005	Bosnia/Herzegovina	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/88049	88049	Boston	ISMI	700	city	USA	#173554	country		
https://ismi.mpiwg-berlin.mpg.de/place/25201	25201	Bourron	ISMI	700	city	France	#174775	country		
https://ismi.mpiwg-berlin.mpg.de/place/86686	86686	Bratislava	ISMI	700	city	Slovakia	#173935	country		
https://ismi.mpiwg-berlin.mpg.de/place/88007	88007	Brussels	ISMI	700	city	Belgium	#179327	country		
https://ismi.mpiwg-berlin.mpg.de/place/88038	88038	Budapest	ISMI	700	city	Hungary	#178964	country		
https://ismi.mpiwg-berlin.mpg.de/place/87068	87068	Bukhara	ISMI	700	city	Uzbekistan	#173272	country		
https://ismi.mpiwg-berlin.mpg.de/place/449376	449376	Bulgaria	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/88226	88226	Burdur	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/85658	85658	Damascus	ISMI	700	city	Syria	#174694	country		
https://ismi.mpiwg-berlin.mpg.de/place/87313	87313	Damietta	ISMI	700	city	Egypt	#173189	country		
https://ismi.mpiwg-berlin.mpg.de/place/85627	85627	Bursa	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/152291	152291	Būzjān	ISMI	700	city_district					
https://ismi.mpiwg-berlin.mpg.de/place/85226	85226	Cairo	ISMI	700	city	Egypt	#173189	country		
https://ismi.mpiwg-berlin.mpg.de/place/86381	86381	Calcutta	ISMI	700	city	India	#174638	country		
https://ismi.mpiwg-berlin.mpg.de/place/86439	86439	Cambridge, MA	ISMI	700	city	USA	#173554	country		
https://ismi.mpiwg-berlin.mpg.de/place/86828	86828	Cambridge, UK	ISMI	700	city	UK	#174533	country		
https://ismi.mpiwg-berlin.mpg.de/place/179459	179459	Canada	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/414387	414387	Carmona	ISMI	700		Spain	#174730	country		
https://ismi.mpiwg-berlin.mpg.de/place/93084	93084	Central Asia	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/119665	119665	Ceuta (northern Morocco)	ISMI	700	city	Spain	#174730	country		
https://ismi.mpiwg-berlin.mpg.de/place/85210	85210	Constantinople	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/87876	87876	Copenhagen	ISMI	700	city	Denmark	#179170	country		
https://ismi.mpiwg-berlin.mpg.de/place/85178	85178	Cordova (Spain)	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/86378	86378	Çorum	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/338465	338465	Cremona	ISMI	700	city	Italy	#173763	country		
https://ismi.mpiwg-berlin.mpg.de/place/87971	87971	Fez	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/441543	441543	Deccan	ISMI	700	region	India	#174638	country		
https://ismi.mpiwg-berlin.mpg.de/place/87127	87127	Denia (Spain)	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/179170	179170	Denmark	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/88072	88072	Detroit	ISMI	700	city	USA	#173554	country		
https://ismi.mpiwg-berlin.mpg.de/place/86551	86551	Dhaka	ISMI	700	city	Bangladesh	#179186	country		
https://ismi.mpiwg-berlin.mpg.de/place/479550	479550	Dhamār	ISMI	700	city	Yemen	#178900	country		
https://ismi.mpiwg-berlin.mpg.de/place/450324	450324	Dīnawar	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/87384	87384	Diyarbakir	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/493137	493137	Doha	ISMI	700	city	Qatar	#493134	country		
https://ismi.mpiwg-berlin.mpg.de/place/87480	87480	Dresden	ISMI	700	city	Germany	#174492	country		
https://ismi.mpiwg-berlin.mpg.de/place/86683	86683	Dublin	ISMI	700	city	Ireland	#179659	country		
https://ismi.mpiwg-berlin.mpg.de/place/87927	87927	Dushanbe	ISMI	700	city	Tajikistan	#179518	country		
https://ismi.mpiwg-berlin.mpg.de/place/356027	356027	Écija	ISMI	700		Spain	#174730	country		
https://ismi.mpiwg-berlin.mpg.de/place/328715	328715	Edessa	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/87546	87546	Edinburgh, Scotland	ISMI	700	city	UK	#174533	country		
https://ismi.mpiwg-berlin.mpg.de/place/85246	85246	Edirne	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/173189	173189	Egypt	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/119513	119513	Elche (Andalusia)	ISMI	700	city	Spain	#174730	country		
https://ismi.mpiwg-berlin.mpg.de/place/437015	437015	Erbil	ISMI	700						
https://ismi.mpiwg-berlin.mpg.de/place/24616	24616	Erfurt	ISMI	700	city	Germany	#174492	country		
https://ismi.mpiwg-berlin.mpg.de/place/87114	87114	Erzincan	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/270897	270897	Erzurum	ISMI	700	city	Turkey	#174510	country		
https://ismi.mpiwg-berlin.mpg.de/place/330883	330883	Ethiopia	ISMI	700	country					
https://ismi.mpiwg-berlin.mpg.de/place/422251	422251	Farab	ISMI	700						
https://ismi.mpiwg-berlin.mpg.de/place/333575	333575	Farghāna	ISMI	700	city					
https://ismi.mpiwg-berlin.mpg.de/place/179766	179766	Fās	ISMI	700	city	Morocco	#173531	country		
