id	title	title_uri	title_source	start	parent_name	parent_id
86475	Birmingham, U.K.	https://ismi.mpiwg-berlin.mpg.de/place/86475	ISMI	0700	UK	#174533
168025	Alamūt	https://ismi.mpiwg-berlin.mpg.de/place/168025	ISMI	0700	Iran	#174469
88220	Bologna	https://ismi.mpiwg-berlin.mpg.de/place/88220	ISMI	0700	Italy	#173763
431413	Bombay	https://ismi.mpiwg-berlin.mpg.de/place/431413	ISMI	0700	India	#174638
179005	Bosnia/Herzegovina	https://ismi.mpiwg-berlin.mpg.de/place/179005	ISMI	0700		
88049	Boston	https://ismi.mpiwg-berlin.mpg.de/place/88049	ISMI	0700	USA	#173554
25201	Bourron	https://ismi.mpiwg-berlin.mpg.de/place/25201	ISMI	0700	France	#174775
86686	Bratislava	https://ismi.mpiwg-berlin.mpg.de/place/86686	ISMI	0700	Slovakia	#173935
88007	Brussels	https://ismi.mpiwg-berlin.mpg.de/place/88007	ISMI	0700	Belgium	#179327
88038	Budapest	https://ismi.mpiwg-berlin.mpg.de/place/88038	ISMI	0700	Hungary	#178964
87068	Bukhara	https://ismi.mpiwg-berlin.mpg.de/place/87068	ISMI	0700	Uzbekistan	#173272
449376	Bulgaria	https://ismi.mpiwg-berlin.mpg.de/place/449376	ISMI	0700		
88226	Burdur	https://ismi.mpiwg-berlin.mpg.de/place/88226	ISMI	0700	Turkey	#174510
85658	Damascus	https://ismi.mpiwg-berlin.mpg.de/place/85658	ISMI	0700	Syria	#174694
87313	Damietta	https://ismi.mpiwg-berlin.mpg.de/place/87313	ISMI	0700	Egypt	#173189
85627	Bursa	https://ismi.mpiwg-berlin.mpg.de/place/85627	ISMI	0700	Turkey	#174510
152291	Būzjān	https://ismi.mpiwg-berlin.mpg.de/place/152291	ISMI	0700		
85226	Cairo	https://ismi.mpiwg-berlin.mpg.de/place/85226	ISMI	0700	Egypt	#173189
86381	Calcutta	https://ismi.mpiwg-berlin.mpg.de/place/86381	ISMI	0700	India	#174638
86439	Cambridge, MA	https://ismi.mpiwg-berlin.mpg.de/place/86439	ISMI	0700	USA	#173554
86828	Cambridge, UK	https://ismi.mpiwg-berlin.mpg.de/place/86828	ISMI	0700	UK	#174533
179459	Canada	https://ismi.mpiwg-berlin.mpg.de/place/179459	ISMI	0700		
414387	Carmona	https://ismi.mpiwg-berlin.mpg.de/place/414387	ISMI	0700	Spain	#174730
93084	Central Asia	https://ismi.mpiwg-berlin.mpg.de/place/93084	ISMI	0700		
119665	Ceuta (northern Morocco)	https://ismi.mpiwg-berlin.mpg.de/place/119665	ISMI	0700	Spain	#174730
85210	Constantinople	https://ismi.mpiwg-berlin.mpg.de/place/85210	ISMI	0700		
87876	Copenhagen	https://ismi.mpiwg-berlin.mpg.de/place/87876	ISMI	0700	Denmark	#179170
85178	Cordova (Spain)	https://ismi.mpiwg-berlin.mpg.de/place/85178	ISMI	0700		
86378	Çorum	https://ismi.mpiwg-berlin.mpg.de/place/86378	ISMI	0700	Turkey	#174510
338465	Cremona	https://ismi.mpiwg-berlin.mpg.de/place/338465	ISMI	0700	Italy	#173763
87971	Fez	https://ismi.mpiwg-berlin.mpg.de/place/87971	ISMI	0700		
441543	Deccan	https://ismi.mpiwg-berlin.mpg.de/place/441543	ISMI	0700	India	#174638
87127	Denia (Spain)	https://ismi.mpiwg-berlin.mpg.de/place/87127	ISMI	0700		
179170	Denmark	https://ismi.mpiwg-berlin.mpg.de/place/179170	ISMI	0700		
88072	Detroit	https://ismi.mpiwg-berlin.mpg.de/place/88072	ISMI	0700	USA	#173554
86551	Dhaka	https://ismi.mpiwg-berlin.mpg.de/place/86551	ISMI	0700	Bangladesh	#179186
479550	Dhamār	https://ismi.mpiwg-berlin.mpg.de/place/479550	ISMI	0700	Yemen	#178900
450324	Dīnawar	https://ismi.mpiwg-berlin.mpg.de/place/450324	ISMI	0700		
