id	title	description	variants	types	matches	start	title_source	title_uri
https://usaybia.net/place/32	Antioch	ancient town in northern Syria (now in Turkey)	Anṭākiyah;Antakya	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/33	Apamea	Greek city in north-west Syria		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/34	Aphrodisias	ancient Greek city in south-western Anatolia		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/35	ʿAqrabāʾ	a locality near the Syrian city of Damascus		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/36	al-Aqṣā Mosque	in Jerusalem	al-Jāmiʿ al-Aqṣā	mosque		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/37	Aquileia	Roman city of northern Italy Arabian Peninsula		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/38	Argos	Greek city of the Peloponnese al-ʿArīsh, Egyptian city on the Mediterranean coast of Sinai		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/39	Armenia	region of the southern Caucasus	Armīniyah	region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/40	Ascalon	coastal city of Palestine		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/41	Asia Minor		Bilād al-Rūm	region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/42	Aswān	town on the eastern bank of the Nile in Upper Egypt		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/43	Asyūṭ	city of Upper Egypt important for trade and agriculture	Assiut	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/44	Atarneus	ancient Greek city in Asia Minor		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/45	Athens			settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/46	Atlantic Ocean		Baḥr al-Ẓulmah;Sea of Darkness	open-water		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/47	al-ʿAttābiyyah	a quarter in Baghdad famous for its cloth called `ʿattābī`		quarter		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/48	ʿAydhāb	a once important port on the Red Sea in what is now modern-day Sudan		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/49	ʿAyn Shams	now a suburb of Cairo, the ancient Heliopolis		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/50	ʿAyn Zarbah	ancient city in south-western Anatolia	Anazarbos;Anazarba	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
