uri	gender	birthDate	deathDate	activeDate	birthPlace	deathPlace	nameLat	firstNameLat	lastNameLat	normLa	nameAra	firstNameAra	lastNameAra	alternateNameAra	alternateFirstNameAra	alternateLastNameAra	alternateNameLat	alternateFirstNameLat	alternateLastNameLat
DiJeSt200812	female	1951				[]	Dagan, Osnat	Osnat	Dagan	Osnat Dagan	دجان، أوسنت	أوسنت	دجان	set()	set()	set()	set()	set()	set()
DiJeSt200887	male	1927	1991			[]	Idris, Yusuf	Yusuf	Idris	Yusuf Idris	ادريس، يوسف	يوسف	ادريس	set()	set()	set()	{'Idris, Youssef'}	'Youssef'	'Idris'
DiJeSt200918	female					[]					يردن، عنات	عنات	يردن	set()	set()	set()	set()	set()	set()
DiJeSt200919	female					[]					بارطوف، دينا	دينا	بارطوف	set()	set()	set()	set()	set()	set()
DiJeSt201073	female					[]	Alpert, Sharon	Sharon	Alpert	Sharon Alpert	ألڨرت، شارون	شارون	ألڨرت	set()	set()	set()	set()	set()	set()
DiJeSt201236	male					[]					شمش، شيمعون	شيمعون	شمش	set()	set()	set()	set()	set()	set()
DiJeSt201807	male					[]	Hatzor, Ilan	Ilan	Hatzor	Ilan Hatzor	حتسور، ايلان	ايلان	حتسور	set()	set()	set()	{'Ḥatsor, Ilan'}	'Ilan'	'Ḥatsor'
DiJeSt201829	female	1972			Acre (Israel)	[]	Adon, Reʼidah	Reʼidah	Adon	Reʼidah Adon	أدون، رائدة	رائدة	أدون	set()	set()	set()	{'Adon, Raida'}	'Raida'	'Adon'
DiJeSt201861	male					[]					شومروني، ناحوم	ناحوم	شومروني	set()	set()	set()	set()	set()	set()
DiJeSt201869	male					[]					شتروزمان، داني	داني	شتروزمان	set()	set()	set()	set()	set()	set()
DiJeSt201897	male	1901-10-30	1964-09-25			Jerusalem (Israel)	Kallay, Sharaga Feivel	Sharaga Feivel	Kallay	Sharaga Feivel Kallay	قلعى، شراغا	شراغا	قلعى	set()	set()	set()	{'Kallay, Sharaga Feivel', 'Kallay, Feivel', 'Kalay, Feivel', 'KALAY (KALLAY), SHRAGA FEIWEL B. MICHAEL'}	'Feivel', 'Sharaga Feivel', 'SHRAGA FEIWEL B. MICHAEL'	'Kalay', 'KALAY (KALLAY)', 'Kallay'
DiJeSt202287	female	1945-03-28				[]	Gavison, Ruth	Ruth	Gavison	Ruth Gavison	چبيزون، روت	روت	چبيزون	set()	set()	set()	{'Gabizon, Ruth', 'Gavizon, Rut'}	'Ruth', 'Rut'	'Gavizon', 'Gabizon'
DiJeSt202479	male	1903-01-11	1988-04-12			Botha's Hill (South Africa)	Paton, Alan	Alan	Paton	Alan Paton	پاتون، آلان	آلان	پاتون	{'پيتون، ألان', 'بيتون، ألان', 'باتون، آلان'}	{'آلان', 'ألان'}	{'پيتون، ألان', 'بيتون، ألان', 'باتون، آلان'}	{'Peṭon, Alen', 'PETON, ALAN STEWART'}	'ALAN STEWART', 'Alen'	'PETON', 'Peṭon'
DiJeSt202619	male	1961			Israel	[]	Abu Samra, Muhammad	Muhammad	Abu Samra	Muhammad Abu Samra	أبو سمرة، محمد	محمد	أبو سمرة	set()	set()	set()	{'Abu Samrah, Muhammad'}	'Muhammad'	'Abu Samrah'
DiJeSt202912	male					[]	Adīb, Assāf	Assāf	Adīb	Assāf Adīb	اديب، اساف	اساف	اديب	set()	set()	set()	{'Adiv, Assaf'}	'Assaf'	'Adiv'
DiJeSt202914	male					[]					ادلر، دوب	دوب	ادلر	set()	set()	set()	set()	set()	set()
DiJeSt203019	male	1922-05-28	2012-08-25			[]	Fisher, Roger	Roger	Fisher	Roger Fisher	فيشر، روجر	روجر	فيشر	set()	set()	set()	{'Fisher, Roger', 'Fisher, Roger Drummer', 'Fisher, Roger Dummer'}	'Roger', 'Roger Drummer', 'Roger Dummer'	'Fisher'
DiJeSt203058	male					[]	Kamel, Riyad	Riyad	Kamel	Riyad Kamel	كامل، رياض	رياض	كامل	set()	set()	set()	set()	set()	set()
DiJeSt203078	female	1941-01-27	1977-09-07			[]	Atar, Tirza	Tirza	Atar	Tirza Atar	أتار، ترتسا	ترتسا	أتار	set()	set()	set()	{'Attar, Tirza', 'Atar, Tirtsah', 'Atar, Tirca'}	'Tirza', 'Tirca', 'Tirtsah'	'Atar', 'Attar'
DiJeSt203143	male	1949				[]					عزايزة، خالد	خالد	عزايزة	set()	set()	set()	set()	set()	set()
DiJeSt203157	male	1970				[]	Hasisi, Badi	Badi	Hasisi	Badi Hasisi	حسيسي، بادي	بادي	حسيسي	set()	set()	set()	set()	set()	set()
DiJeSt203164	male	1972				[]	Yavin, Jonathan	Jonathan	Yavin	Jonathan Yavin	يفين، يونتان	يونتان	يفين	set()	set()	set()	set()	set()	set()
DiJeSt203165	male					[]	Soffer, Gilad	Gilad	Soffer	Gilad Soffer	صوفر، جلعاد	جلعاد	صوفر	{'سوفير، چلعاد', 'سوفر، جلعاد'}	{'جلعاد', 'چلعاد'}	{'سوفير، چلعاد', 'سوفر، جلعاد'}	set()	set()	set()
DiJeSt203176	female	1966-10-15			Vilnius (Lithuania)	[]	Grossman, Liora	Liora	Grossman	Liora Grossman	غروسمان، ليئورا	ليئورا	غروسمان	set()	set()	set()	{'Grosman, Liora'}	'Liora'	'Grosman'
DiJeSt203186	male					[]	Algom, Noga	Noga	Algom	Noga Algom	ألغوم، نوجا	نوجا	ألغوم	set()	set()	set()	set()	set()	set()
DiJeSt203301	male	1885	1933			Chicago (Ill.)	Chiera, Edward	Edward	Chiera	Edward Chiera	كييرا، ادوارد	ادوارد	كييرا	{'چييرا، ادوارد'}	{'ادوارد'}	{'چييرا، ادوارد'}	{'CHIERA, EDWARD'}	'EDWARD'	'CHIERA'
DiJeSt203349	male	1939	2007		Hazore'a (Israel)	[]	Meron, Joram	Joram	Meron	Joram Meron	ميرون، يورم	يورم	ميرون	{'ميرون، يورام'}	{'يورام'}	{'ميرون، يورام'}	{'Meron, Joram'}	'Joram'	'Meron'
DiJeSt203350		1953				[]	Kabha, Reyad	Reyad	Kabha	Reyad Kabha	كبها، رياض	رياض	كبها	{'كبها، رياض كامل'}	{'رياض كامل'}	{'كبها، رياض كامل'}	{'Kabaha, Riyad', 'Kabaha, Riyad Kamel', 'Kabaha, Riyad Kamil', 'Kabha, Riyad'}	'Riyad Kamel', 'Riyad', 'Riyad Kamil'	'Kabha', 'Kabaha'
DiJeSt203368	male					[]	Ezrahian, Yedidia	Yedidia	Ezrahian	Yedidia Ezrahian	اذراخيان، يديديا	يديديا	اذراخيان	{'ازراحيان، يديديا', 'آذرحيان، يديديا', 'آذراحيان، عزيزالله', 'آذراحيان، عزيز الله'}	{'عزيز الله', 'عزيزالله', 'يديديا'}	{'ازراحيان، يديديا', 'آذرحيان، يديديا', 'آذراحيان، عزيزالله', 'آذراحيان، عزيز الله'}	{'Az̲araḥiyān, Yidīdiyā', 'Azarahiyan, Yedidyah', 'Azarahian, Yadidia', 'Āz̲rāḥiyān, ʻAzīz Allāh', 'Az̲araḥiyān, Hārāv Yidīdiyā', 'Ezraḥiyan, Yedidiyah', 'Azaraḥyan, Yedidyah', 'Azarahian, Yedidiah', 'Azarahian, Harav Yadidia', 'Azrahian, Yedidiah'}	'Harav Yadidia', 'Yedidiah', 'Yedidyah', 'Hārāv Yidīdiyā', 'ʻAzīz Allāh', 'Yadidia', 'Yidīdiyā', 'Yedidiyah'	'Azaraḥyan', 'Azarahian', 'Az̲araḥiyān', 'Azarahiyan', 'Āz̲rāḥiyān', 'Azrahian', 'Ezraḥiyan'
DiJeSt203500	male	1952-02-26				[]	Shenhav, Yehouda A.	Yehouda A.	Shenhav	Yehouda A. Shenhav	شنهاف، يهودا	يهودا	شنهاف	{'شنهاڨ شهرباني، يهودا', 'شهرباني، يهودا شنهاڨ-'}	{'يهودا شنهاڨ-', 'يهودا'}	{'شنهاڨ شهرباني، يهودا', 'شهرباني، يهودا شنهاڨ-'}	{'Shahrabani, Yehuda', 'Shenhav-Shahrabani, Yehudah', 'Shenhav, Yehuda', 'Shenhav, Yehouda', 'Shahrabani, Yehuda Shenhav', 'Shahrabani, Yehudah Shenhav', 'Shenhav-Shahrabani, Yehouda', 'Shenhav, Yehudah A.', 'Shahrabani, Yehouda'}	'Yehuda Shenhav', 'Yehudah', 'Yehudah Shenhav', 'Yehouda', 'Yehuda', 'Yehudah A.'	'Shenhav-Shahrabani', 'Shahrabani', 'Shenhav'
DiJeSt203672	male					[]	Arielli, A. D.				اريئيلي			set()	set()	set()	{'Arielli'}	''	''
DiJeSt203700	male					[]					بران، زئيف	زئيف	بران	set()	set()	set()	set()	set()	set()
DiJeSt203716						[]					جيرون، ح.	ح.	جيرون	set()	set()	set()	set()	set()	set()
DiJeSt203718	male					[]					جراح، مئير	مئير	جراح	set()	set()	set()	set()	set()	set()
DiJeSt203720	male	1883-06-25	1955-01-31			Jerusalem (Israel)					غرونفلدر، بنو	بنو	غرونفلدر	set()	set()	set()	{'GRUNFELDER, BENNO TOV B. MOSES'}	'BENNO TOV B. MOSES'	'GRUNFELDER'
DiJeSt203724	male					[]					دونل، اوريئل	اوريئل	دونل	set()	set()	set()	set()	set()	set()
DiJeSt203733	male					[]					دانا، ميخائيل	ميخائيل	دانا	set()	set()	set()	set()	set()	set()
DiJeSt203737	male					[]					دانزيقر، رافائيل	رافائيل	دانزيقر	set()	set()	set()	set()	set()	set()
DiJeSt203738	male	1918	1994		Poland	[]	Kimchi, Jechezkiel	Jechezkiel	Kimchi	Jechezkiel Kimchi	قمحى، يحزقئيل	يحزقئيل	قمحى	set()	set()	set()	{'KIMCHI, EZEKIEL B. MICHAE SHEVACH', 'Kimchi, Yechezkiel', 'Kimchi, Jehezkiel'}	'Jehezkiel', 'EZEKIEL B. MICHAE SHEVACH', 'Yechezkiel'	'Kimchi', 'KIMCHI'
DiJeSt203763	male					[]					كرملي، عاميت	عاميت	كرملي	set()	set()	set()	set()	set()	set()
DiJeSt203765						[]					روك، يامن	يامن	روك	set()	set()	set()	set()	set()	set()
DiJeSt203885	female					[]					ماي، اليشبع	اليشبع	ماي	{'ماي، اليشيباع'}	{'اليشيباع'}	{'ماي، اليشيباع'}	set()	set()	set()
DiJeSt203913	male	1942				[]	Khalīl, Khalīl Aḥmad	Khalīl Aḥmad	Khalīl	Khalīl Aḥmad Khalīl	خليل، خليل احمد	خليل احمد	خليل	{'خليل، خليل احمد'}	{'خليل احمد'}	{'خليل، خليل احمد'}	set()	set()	set()
DiJeSt204094	male					[]	Harel, Amos	Amos	Harel	Amos Harel	هرئيل، عاموص	عاموص	هرئيل	set()	set()	set()	set()	set()	set()
DiJeSt204123						[]					حامد، هلال	هلال	حامد	set()	set()	set()	set()	set()	set()
DiJeSt204124						[]					جازي، بليغ	بليغ	جازي	{'جازي، بليغ أحمد'}	{'بليغ أحمد'}	{'جازي، بليغ أحمد'}	set()	set()	set()
