uri	related-uri	ccodes	matches	lon	lat
http://data.geo-kima.org/Place/12037	https://ismi.mpiwg-berlin.mpg.de/place/437015	IQ	https://www.wikidata.org/wiki/Q132754	44.009444444444	36.191111111111
http://data.geo-kima.org/Place/13457	https://ismi.mpiwg-berlin.mpg.de/place/24616	DE	https://www.wikidata.org/wiki/Q1729;https://www.geonames.org/2929668	11.029166666667	50.978055555556
http://data.geo-kima.org/Place/14480	https://ismi.mpiwg-berlin.mpg.de/place/87114	TR	https://www.wikidata.org/wiki/Q136217;https://www.geonames.org/315373	39.491388888889	39.746388888889
http://data.geo-kima.org/Place/6924	https://ismi.mpiwg-berlin.mpg.de/place/330883		https://www.wikidata.org/wiki/Q115	40	9
http://data.geo-kima.org/Place/6399	https://ismi.mpiwg-berlin.mpg.de/place/174775		https://www.wikidata.org/wiki/Q142	2	47
http://data.geo-kima.org/Place/9825	https://ismi.mpiwg-berlin.mpg.de/place/525410	TR	https://www.wikidata.org/wiki/Q1966963;https://www.geonames.org/11886622	26.667	40.417
http://data.geo-kima.org/Place/12743	https://ismi.mpiwg-berlin.mpg.de/place/153829	AF	https://www.wikidata.org/wiki/Q173731	68.423333333333	33.549166666667
http://data.geo-kima.org/Place/6844	https://ismi.mpiwg-berlin.mpg.de/place/87176	DE	https://www.wikidata.org/wiki/Q6986	10.718333333333	50.948888888889
http://data.geo-kima.org/Place/8822	https://ismi.mpiwg-berlin.mpg.de/place/71938				
http://data.geo-kima.org/Place/10279	https://ismi.mpiwg-berlin.mpg.de/place/436281	ES	https://www.wikidata.org/wiki/Q244324;https://www.geonames.org/2516925	-3.1371246	37.2995522
http://data.geo-kima.org/Place/11554	https://ismi.mpiwg-berlin.mpg.de/place/311328	SY	https://www.wikidata.org/wiki/Q173545	36.75	35.133333333333
http://data.geo-kima.org/Place/17893	https://ismi.mpiwg-berlin.mpg.de/place/347936	TR			
http://data.geo-kima.org/Place/10485	https://ismi.mpiwg-berlin.mpg.de/place/86434	DE	https://www.wikidata.org/wiki/Q2966;https://www.geonames.org/2907911	8.71	49.412222222222
